Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Segmen;Quarter;Total Peserta;Durasi /Jam;Govt;nonGovt
2021;"ShowcaseSchool";"Showcase Schools – Session 2: SMPK BPK Penabur Cimahi ";2021-04-20 00:00:00,000;"20/04/2021";"K-12";"Q4";"15";3;0;15
2021;"ShowcaseSchool";"Showcase Schools – Session 2: SD Al Azhar 31 Yogyakarta ";2021-06-15 00:00:00,000;"15/06/2021";"K-12";"Q4";"28";3;0;28
2021;"ShowcaseSchool";"Showcase Schools – Session 3: SD Al Azhar 31 Yogyakarta";2021-06-18 00:00:00,000;"18/06/2021";"K-12";"Q4";"25";3;0;25
2021;"ShowcaseSchool";"Showcase Schools – Session 2: SMAK BPK Penabur Bandarlampung";2021-06-24 00:00:00,000;"24/06/2021";"K-12";"Q4";"26";3;0;26
2021;"PremiumTraining";"Pelatihan Power BI Vads";2021-04-01 00:00:00,000;"01/04/2021";"Corporate";"Q4";"15";24;0;15
2021;"PremiumTraining";"Pelatihan Power BI Unilever";2021-06-15 00:00:00,000;"15/06/2021";"Corporate";"Q4";"3";15;0;3
2020;"M365";"Workshop Microsoft 365 - Word for Academic Research ";2019-08-22 00:00:00,000;"22/08/2019";"HigherEd";"Q1 ";"42 ";;;
2020;"TeamsCoaching";"Membangun Kelas Virtual pada Pembelajaran Abad 21 dengan Microsoft Teams ";2019-08-30 00:00:00,000;"30/08/2019";"K-12";"Q1 ";"44 ";;;
2020;"M365";"FunFest - Microsoft 365: Mengenal Microsoft 365 sebagai Fasilitas Universitas ";2019-09-03 00:00:00,000;"03/09/2019";"HigherEd";"Q1 ";"269 ";;;
2020;"M365";"Seminar - Microsoft 365 for Improving Productivity ";2019-09-04 00:00:00,000;"04/09/2019";"HigherEd";"Q1 ";"49 ";;;
2020;"TeamsCoaching";"Membangun Ruang Kelas Belajar Virtual dengan Teams ";2019-09-24 00:00:00,000;"24/09/2019";"K-12";"Q1 ";"46 ";;;
2020;"TeamsCoaching";"Online activity photo– Menginspirasi Negeri ";2019-08-14 00:00:00,000;"20/09/2019";"K-12";"Q1 ";"31 ";;;
2020;".NET Conf ";".NET Conf 2019 ";2019-10-15 00:00:00,000;"15/10/2019";"HigherEd&Profesional";"Q2 ";"42 ";;;
2020;"M365";"Optimizing Microsoft 365 for College Student ";2019-10-28 00:00:00,000;"28/10/2019";"HigherEd";"Q2 ";"49 ";;;
2020;"TeamsCoaching";"Sway sebagai Media Pembelajaran di Kelas Virtual – Microsoft Teams ";2019-11-11 00:00:00,000;"11/11/2019";"HigherEd";"Q2 ";"36 ";;;
2020;"M365";"Global Microsoft 365 Developer Bootcamp 2019 ";2019-11-15 00:00:00,000;"15/11/2019";"HigherEd&Profesional";"Q2 ";"21 ";;;
2020;"M365";"Managing Lecture Notes Digitally with OneNote ";2019-11-22 00:00:00,000;"22/11/2019";"HigherEd";"Q2 ";"22 ";;;
2020;"M365";"Building Virtual Classroom with Teams ";2019-11-25 00:00:00,000;"25/11/2019";"HigherEd";"Q2 ";"55 ";;;
2020;"TeamsCoaching";"PowerPoint sebagai Media Bahan Ajar Digital di Kelas Virtual ";2019-12-17 00:00:00,000;"17/12/2019";"K-12";"Q2 ";"44 ";;;
2020;"TeamsCoaching";"PowerPoint sebagai Media Bahan Ajar Digital di Kelas Virtual ";2019-12-31 00:00:00,000;"31/12/2019";"K-12";"Q2 ";"40 ";;;
2020;"M365";"Building The Integrated Virtual Classroom with Teams and Moodle ";2020-01-16 00:00:00,000;"16/01/2020";"HigherEd";"Q3 ";"47 ";;;
2020;"M365";"Creating and Managing a Document Academic using Office 365 ";2020-03-19 00:00:00,000;"19/03/2020";"HigherEd";"Q3 ";"76 ";;;
