Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Quarter;Total Peserta;Segmen
2020;"GTP ";"Project Collaboration using Teams and Planner ";2020-04-22 00:00:00,000;2020-04-22 00:00:00,000;"Q4 ";"169 ";"HigherEd"
2020;"GTP ";"7 Tips to Make Accessible Learning ";2020-04-22 00:00:00,000;2020-04-22 00:00:00,000;"Q4 ";"153 ";"K-12"
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-04-23 00:00:00,000;2020-04-23 00:00:00,000;"Q4 ";"132 ";"K-12"
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-04-23 00:00:00,000;2020-04-23 00:00:00,000;"Q4 ";"120 ";"K-12"
2020;"GTP ";"Getting Organized with OneNote Online ";2020-04-27 00:00:00,000;2020-04-27 00:00:00,000;"Q4 ";"134 ";"K-12"
2020;"GTP ";"Build Inclusive Learning Environment with Office 365 ";2020-04-27 00:00:00,000;2020-04-27 00:00:00,000;"Q4 ";"152 ";"K-12"
2020;"GTP ";"Becoming productive in grading by adopting outcome based assessment with Microsoft Forms ";2020-05-20 00:00:00,000;2020-05-20 00:00:00,000;"Q4 ";"86 ";"HigherEd"
2020;"GTP ";"Connected with Students using Remote Learning Scheme with Microsoft Teams and Office 365 ";2020-05-22 00:00:00,000;2020-05-22 00:00:00,000;"Q4 ";"76 ";"K-12"
2020;"GTP ";"Creating Video Learning using PowerPoint Recorder and Game bar ";2020-05-27 00:00:00,000;2020-05-27 00:00:00,000;"Q4 ";"169 ";"K-12"
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-05-29 00:00:00,000;2020-05-29 00:00:00,000;"Q4 ";"73 ";"HigherEd"
2020;"GTP ";"Assessment Model in The Virtual Classroom ";2020-06-02 00:00:00,000;2020-06-02 00:00:00,000;"Q4 ";"163 ";"HigherEd"
2020;"GTP ";"8 Tips For Getting The Right Blend In Blended Learning ";2020-06-02 00:00:00,000;2020-06-02 00:00:00,000;"Q4 ";"147 ";"K-12"
2020;"GTP ";"Pengenalan Microsoft Educator Community dan Microsoft Teams ";2020-06-02 00:00:00,000;2020-06-02 00:00:00,000;"Q4 ";"168 ";"K-12"
2020;"GTP ";"Redefining PowerPoint in the College Classroom ";2020-06-03 00:00:00,000;2020-06-03 00:00:00,000;"Q4 ";"142 ";"HigherEd"
2020;"GTP ";"5 Tips for Digital Transformation of Learning ";2020-06-03 00:00:00,000;2020-06-03 00:00:00,000;"Q4 ";"139 ";"K-12"
2020;"GTP ";"Survei dan Ujian Menggunakan Microsoft Forms dan Berbagi file di OneDrive ";2020-06-03 00:00:00,000;2020-06-03 00:00:00,000;"Q4 ";"150 ";"K-12"
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-06-04 00:00:00,000;2020-06-04 00:00:00,000;"Q3 ";"189 ";"K-12"
2020;"GTP ";"Becoming productive in grading by adopting outcome based assessment with Microsoft Forms   ";2020-06-04 00:00:00,000;2020-06-04 00:00:00,000;"Q4 ";"189 ";"K-12"
2020;"GTP ";"Digital Storytelling with Microsoft Sway, Class notebook (OneNote) dan Berkolaborasi dengan Office Online";2020-06-04 00:00:00,000;2020-06-04 00:00:00,000;"Q4 ";"367 ";"HigherEd"
2020;"GTP ";"Integrating Flipgrid in Teams for More Interactive Learning ";2020-06-05 00:00:00,000;2020-06-05 00:00:00,000;"Q4 ";"180 ";"K-12"
2020;"GTP ";"Organizing Lesson Plans and Delivering Interactive Lesson with OneNote Class Notebook ";2020-06-05 00:00:00,000;2020-06-05 00:00:00,000;"Q4 ";"174 ";"HigherEd"
2020;"GTP ";"Office 365 Deployment ";2020-06-05 00:00:00,000;2020-06-05 00:00:00,000;"Q4 ";"382 ";"HigherEd&K-12"
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-06-08 00:00:00,000;2020-06-08 00:00:00,000;"Q4 ";"58 ";"K-12"
2020;"GTP ";"Assessment Model in The Virtual Classroom  ";2020-06-08 00:00:00,000;2020-06-08 00:00:00,000;"Q4 ";"18 ";"K-12"
2020;"GTP ";"Improving Productivity with Office 365 ";2020-06-09 00:00:00,000;2020-06-09 00:00:00,000;"Q4 ";"11 ";"HigherEd"
2020;"GTP ";"Redefining PowerPoint in the College Classroom ";2020-06-10 00:00:00,000;2020-06-10 00:00:00,000;"Q4 ";"26 ";"HigherEd"
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-06-10 00:00:00,000;2020-06-10 00:00:00,000;"Q4 ";"6 ";"K-12"
2020;"GTP ";"Managing Document using OneDrive for Business and SharePoint Online ";2020-06-12 00:00:00,000;2020-06-12 00:00:00,000;"Q4 ";"19 ";"HigherEd"
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-06-12 00:00:00,000;2020-06-12 00:00:00,000;"Q4 ";"7 ";"K-12"
2020;"GTP ";"Project Collaboration using Teams and Planner ";2020-06-16 00:00:00,000;2020-06-16 00:00:00,000;"Q4 ";"268 ";"HigherEd"
2020;"GTP ";"Build Asynchronous Learning with OneNote Class Notebook ";2020-06-16 00:00:00,000;2020-06-16 00:00:00,000;"Q4 ";"133 ";"K-12"
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-06-18 00:00:00,000;2020-06-18 00:00:00,000;"Q4 ";"143 ";"K-12"
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-06-18 00:00:00,000;2020-06-18 00:00:00,000;"Q4 ";"74 ";"K-12"
2020;"GTP ";"Creating A Virtual Classroom with Microsoft Teams ";2020-06-19 00:00:00,000;2020-06-19 00:00:00,000;"Q4 ";"18 ";"HigherEd"
2020;"GTP ";"Managing Document using OneDrive for Business and SharePoint Online ";2020-06-29 00:00:00,000;2020-06-29 00:00:00,000;"Q4 ";"129 ";"HigherEd"
2020;"GTP ";"Video Editing and Photo Editing with Windows  ";2020-06-29 00:00:00,000;2020-06-29 00:00:00,000;"Q4 ";"105 ";"K-12"
2020;"GTP ";"Virtual Classroom Management with Microsoft Teams ";2020-06-30 00:00:00,000;2020-06-30 00:00:00,000;"Q4 ";"44 ";"K-12"
2020;"GTP ";"Microsoft Edge for Education ";2020-06-30 00:00:00,000;2020-06-30 00:00:00,000;"Q4 ";"13 ";"K-12"
2020;"GTP ";"Office 365 for Research ";2020-06-30 00:00:00,000;2020-06-30 00:00:00,000;"Q4 ";"31 ";"HigherEd"
2020;"GTP ";"Improving Productivity with Office 365 ";2020-06-30 00:00:00,000;2020-06-30 00:00:00,000;"Q4 ";"77 ";"HigherEd"
