Course ID;Title of Course;Topics
"MB-910";"Microsoft Dynamics 365 Fundamentals (CRM)";"Learn the Fundamentals of Dynamics 365 Marketing"
"MB-910";"Microsoft Dynamics 365 Fundamentals (CRM)";"Learn the Fundamentals of Dynamics 365 Sales"
"MB-910";"Microsoft Dynamics 365 Fundamentals (CRM)";"Learn the Fundamentals of Dynamics 365 Customer Service"
"MB-910";"Microsoft Dynamics 365 Fundamentals (CRM)";"Learn the Fundamentals of Dynamics 365 Field Service"
"MB-910";"Microsoft Dynamics 365 Fundamentals (CRM)";"Learn the Fundamentals of Dynamics 365 Project Operations (CRM)"
"MS-030";"Office 365 Administrator";"Planning and provisioning Office 365"
"MS-030";"Office 365 Administrator";"Managing Office 365 users and groups"
"MS-030";"Office 365 Administrator";"Configuring client connectivity to Microsoft Office 365"
"MS-030";"Office 365 Administrator";"Planning and configuring directory synchronization"
"MS-030";"Office 365 Administrator";"Planning and deploying Office 365 ProPlus"
"MS-030";"Office 365 Administrator";"Planning and managing Exchange Online recipients and permissions"
"MS-030";"Office 365 Administrator";"Planning and configuring Exchange Online services"
"MS-030";"Office 365 Administrator";"Planning and deploying Microsoft Teams"
"MS-030";"Office 365 Administrator";"Planning and configuring SharePoint Online"
"MS-030";"Office 365 Administrator";"Planning and configuring an Office 365 collaboration solution"
"MS-030";"Office 365 Administrator";"Planning and configuring security and compliance in Office 365"
"MS-030";"Office 365 Administrator";"Monitoring and troubleshooting Microsoft Office 365"
"20339-1AC";"Planning and Administering SharePoint 2016";"Introducing SharePoint 2016"
"20339-1AC";"Planning and Administering SharePoint 2016";"Designing an information architecture"
"20339-1AC";"Planning and Administering SharePoint 2016";"Designing a logical architecture"
"20339-1AC";"Planning and Administering SharePoint 2016";"Designing a physical architecture"
"20339-1AC";"Planning and Administering SharePoint 2016";"Installing and configuring SharePoint 2016"
"20339-1AC";"Planning and Administering SharePoint 2016";"Creating web applications and site collections"
"20339-1AC";"Planning and Administering SharePoint 2016";"Planning and configuring service applications"
"20339-1AC";"Planning and Administering SharePoint 2016";"Managing users and permissions, and securing content"
"20339-1AC";"Planning and Administering SharePoint 2016";"Configuring authentication for SharePoint 2016"
"20339-1AC";"Planning and Administering SharePoint 2016";"Securing a SharePoint 2016 deployment"
"20339-1AC";"Planning and Administering SharePoint 2016";"Managing taxonomy"
"20339-1AC";"Planning and Administering SharePoint 2016";"Configuring user profiles"
"20339-1AC";"Planning and Administering SharePoint 2016";"Configuring Enterprise Search"
"20339-1AC";"Planning and Administering SharePoint 2016";"Monitoring and maintaining a SharePoint 2016 environment"
